order,id,date,time,title,url,visitCount,typedCount,transition
1,9999,05/09/2026,01:00:10,Scale record 9999,https://scale4.historyout-qa.invalid/page/9999?campaign=x#note,3,0,link
2,9998,05/09/2026,01:00:10,Scale record 9998,https://scale3.historyout-qa.invalid/page/9998?campaign=x#note,3,0,link
3,9999,05/09/2026,01:00:10,Scale record 9999,https://scale4.historyout-qa.invalid/page/9999?campaign=x#note,3,0,link
4,9997,05/09/2026,01:00:09,Scale record 9997,https://scale2.historyout-qa.invalid/page/9997?campaign=x#note,3,0,link
5,9998,05/09/2026,01:00:09,Scale record 9998,https://scale3.historyout-qa.invalid/page/9998?campaign=x#note,3,0,link
6,9999,05/09/2026,01:00:09,Scale record 9999,https://scale4.historyout-qa.invalid/page/9999?campaign=x#note,3,0,link
7,9996,05/09/2026,01:00:09,Scale record 9996,https://scale1.historyout-qa.invalid/page/9996?campaign=x#note,3,0,link
8,9997,05/09/2026,01:00:09,Scale record 9997,https://scale2.historyout-qa.invalid/page/9997?campaign=x#note,3,0,link
9,9998,05/09/2026,01:00:09,Scale record 9998,https://scale3.historyout-qa.invalid/page/9998?campaign=x#note,3,0,link
10,9995,05/09/2026,01:00:09,Scale record 9995,https://scale0.historyout-qa.invalid/page/9995?campaign=x#note,3,0,link
11,9996,05/09/2026,01:00:09,Scale record 9996,https://scale1.historyout-qa.invalid/page/9996?campaign=x#note,3,0,link
12,9997,05/09/2026,01:00:09,Scale record 9997,https://scale2.historyout-qa.invalid/page/9997?campaign=x#note,3,0,link
13,9995,05/09/2026,01:00:09,Scale record 9995,https://scale0.historyout-qa.invalid/page/9995?campaign=x#note,3,0,link
14,9996,05/09/2026,01:00:09,Scale record 9996,https://scale1.historyout-qa.invalid/page/9996?campaign=x#note,3,0,link
15,9994,05/09/2026,01:00:09,Scale record 9994,https://scale4.historyout-qa.invalid/page/9994?campaign=x#note,3,0,link
16,9995,05/09/2026,01:00:09,Scale record 9995,https://scale0.historyout-qa.invalid/page/9995?campaign=x#note,3,0,link
17,9993,05/09/2026,01:00:09,Scale record 9993,https://scale3.historyout-qa.invalid/page/9993?campaign=x#note,3,0,link
18,9994,05/09/2026,01:00:09,Scale record 9994,https://scale4.historyout-qa.invalid/page/9994?campaign=x#note,3,0,link
19,9992,05/09/2026,01:00:09,Scale record 9992,https://scale2.historyout-qa.invalid/page/9992?campaign=x#note,3,0,link
20,9993,05/09/2026,01:00:09,Scale record 9993,https://scale3.historyout-qa.invalid/page/9993?campaign=x#note,3,0,link
21,9994,05/09/2026,01:00:09,Scale record 9994,https://scale4.historyout-qa.invalid/page/9994?campaign=x#note,3,0,link
22,9991,05/09/2026,01:00:09,Scale record 9991,https://scale1.historyout-qa.invalid/page/9991?campaign=x#note,3,0,link
23,9992,05/09/2026,01:00:09,Scale record 9992,https://scale2.historyout-qa.invalid/page/9992?campaign=x#note,3,0,link
24,9993,05/09/2026,01:00:09,Scale record 9993,https://scale3.historyout-qa.invalid/page/9993?campaign=x#note,3,0,link
25,9990,05/09/2026,01:00:09,Scale record 9990,https://scale0.historyout-qa.invalid/page/9990?campaign=x#note,3,0,link
26,9991,05/09/2026,01:00:09,Scale record 9991,https://scale1.historyout-qa.invalid/page/9991?campaign=x#note,3,0,link
27,9992,05/09/2026,01:00:09,Scale record 9992,https://scale2.historyout-qa.invalid/page/9992?campaign=x#note,3,0,link
28,9990,05/09/2026,01:00:09,Scale record 9990,https://scale0.historyout-qa.invalid/page/9990?campaign=x#note,3,0,link
29,9991,05/09/2026,01:00:09,Scale record 9991,https://scale1.historyout-qa.invalid/page/9991?campaign=x#note,3,0,link
30,9989,05/09/2026,01:00:09,Scale record 9989,https://scale4.historyout-qa.invalid/page/9989?campaign=x#note,3,0,link
31,9990,05/09/2026,01:00:09,Scale record 9990,https://scale0.historyout-qa.invalid/page/9990?campaign=x#note,3,0,link
32,9988,05/09/2026,01:00:09,Scale record 9988,https://scale3.historyout-qa.invalid/page/9988?campaign=x#note,3,0,link
33,9989,05/09/2026,01:00:09,Scale record 9989,https://scale4.historyout-qa.invalid/page/9989?campaign=x#note,3,0,link
34,9987,05/09/2026,01:00:09,Scale record 9987,https://scale2.historyout-qa.invalid/page/9987?campaign=x#note,3,0,link
35,9988,05/09/2026,01:00:09,Scale record 9988,https://scale3.historyout-qa.invalid/page/9988?campaign=x#note,3,0,link
36,9989,05/09/2026,01:00:09,Scale record 9989,https://scale4.historyout-qa.invalid/page/9989?campaign=x#note,3,0,link
37,9986,05/09/2026,01:00:09,Scale record 9986,https://scale1.historyout-qa.invalid/page/9986?campaign=x#note,3,0,link
38,9987,05/09/2026,01:00:09,Scale record 9987,https://scale2.historyout-qa.invalid/page/9987?campaign=x#note,3,0,link
39,9988,05/09/2026,01:00:09,Scale record 9988,https://scale3.historyout-qa.invalid/page/9988?campaign=x#note,3,0,link
40,9985,05/09/2026,01:00:09,Scale record 9985,https://scale0.historyout-qa.invalid/page/9985?campaign=x#note,3,0,link
41,9986,05/09/2026,01:00:09,Scale record 9986,https://scale1.historyout-qa.invalid/page/9986?campaign=x#note,3,0,link
42,9987,05/09/2026,01:00:09,Scale record 9987,https://scale2.historyout-qa.invalid/page/9987?campaign=x#note,3,0,link
43,9985,05/09/2026,01:00:09,Scale record 9985,https://scale0.historyout-qa.invalid/page/9985?campaign=x#note,3,0,link
44,9986,05/09/2026,01:00:09,Scale record 9986,https://scale1.historyout-qa.invalid/page/9986?campaign=x#note,3,0,link
45,9984,05/09/2026,01:00:09,Scale record 9984,https://scale4.historyout-qa.invalid/page/9984?campaign=x#note,3,0,link
46,9985,05/09/2026,01:00:09,Scale record 9985,https://scale0.historyout-qa.invalid/page/9985?campaign=x#note,3,0,link
47,9983,05/09/2026,01:00:09,Scale record 9983,https://scale3.historyout-qa.invalid/page/9983?campaign=x#note,3,0,link
48,9984,05/09/2026,01:00:09,Scale record 9984,https://scale4.historyout-qa.invalid/page/9984?campaign=x#note,3,0,link
49,9982,05/09/2026,01:00:09,Scale record 9982,https://scale2.historyout-qa.invalid/page/9982?campaign=x#note,3,0,link
50,9983,05/09/2026,01:00:09,Scale record 9983,https://scale3.historyout-qa.invalid/page/9983?campaign=x#note,3,0,link
51,9984,05/09/2026,01:00:09,Scale record 9984,https://scale4.historyout-qa.invalid/page/9984?campaign=x#note,3,0,link
52,9981,05/09/2026,01:00:09,Scale record 9981,https://scale1.historyout-qa.invalid/page/9981?campaign=x#note,3,0,link
53,9982,05/09/2026,01:00:09,Scale record 9982,https://scale2.historyout-qa.invalid/page/9982?campaign=x#note,3,0,link
54,9983,05/09/2026,01:00:09,Scale record 9983,https://scale3.historyout-qa.invalid/page/9983?campaign=x#note,3,0,link
55,9980,05/09/2026,01:00:09,Scale record 9980,https://scale0.historyout-qa.invalid/page/9980?campaign=x#note,3,0,link
56,9981,05/09/2026,01:00:09,Scale record 9981,https://scale1.historyout-qa.invalid/page/9981?campaign=x#note,3,0,link
57,9982,05/09/2026,01:00:09,Scale record 9982,https://scale2.historyout-qa.invalid/page/9982?campaign=x#note,3,0,link
58,9980,05/09/2026,01:00:09,Scale record 9980,https://scale0.historyout-qa.invalid/page/9980?campaign=x#note,3,0,link
59,9981,05/09/2026,01:00:09,Scale record 9981,https://scale1.historyout-qa.invalid/page/9981?campaign=x#note,3,0,link
60,9979,05/09/2026,01:00:09,Scale record 9979,https://scale4.historyout-qa.invalid/page/9979?campaign=x#note,3,0,link
61,9980,05/09/2026,01:00:09,Scale record 9980,https://scale0.historyout-qa.invalid/page/9980?campaign=x#note,3,0,link
62,9978,05/09/2026,01:00:09,Scale record 9978,https://scale3.historyout-qa.invalid/page/9978?campaign=x#note,3,0,link
63,9979,05/09/2026,01:00:09,Scale record 9979,https://scale4.historyout-qa.invalid/page/9979?campaign=x#note,3,0,link
64,9977,05/09/2026,01:00:09,Scale record 9977,https://scale2.historyout-qa.invalid/page/9977?campaign=x#note,3,0,link
65,9978,05/09/2026,01:00:09,Scale record 9978,https://scale3.historyout-qa.invalid/page/9978?campaign=x#note,3,0,link
66,9979,05/09/2026,01:00:09,Scale record 9979,https://scale4.historyout-qa.invalid/page/9979?campaign=x#note,3,0,link
67,9976,05/09/2026,01:00:09,Scale record 9976,https://scale1.historyout-qa.invalid/page/9976?campaign=x#note,3,0,link
68,9977,05/09/2026,01:00:09,Scale record 9977,https://scale2.historyout-qa.invalid/page/9977?campaign=x#note,3,0,link
69,9978,05/09/2026,01:00:09,Scale record 9978,https://scale3.historyout-qa.invalid/page/9978?campaign=x#note,3,0,link
70,9975,05/09/2026,01:00:09,Scale record 9975,https://scale0.historyout-qa.invalid/page/9975?campaign=x#note,3,0,link
71,9976,05/09/2026,01:00:09,Scale record 9976,https://scale1.historyout-qa.invalid/page/9976?campaign=x#note,3,0,link
72,9977,05/09/2026,01:00:09,Scale record 9977,https://scale2.historyout-qa.invalid/page/9977?campaign=x#note,3,0,link
73,9975,05/09/2026,01:00:09,Scale record 9975,https://scale0.historyout-qa.invalid/page/9975?campaign=x#note,3,0,link
74,9976,05/09/2026,01:00:09,Scale record 9976,https://scale1.historyout-qa.invalid/page/9976?campaign=x#note,3,0,link
75,9974,05/09/2026,01:00:09,Scale record 9974,https://scale4.historyout-qa.invalid/page/9974?campaign=x#note,3,0,link
76,9975,05/09/2026,01:00:09,Scale record 9975,https://scale0.historyout-qa.invalid/page/9975?campaign=x#note,3,0,link
77,9973,05/09/2026,01:00:09,Scale record 9973,https://scale3.historyout-qa.invalid/page/9973?campaign=x#note,3,0,link
78,9974,05/09/2026,01:00:09,Scale record 9974,https://scale4.historyout-qa.invalid/page/9974?campaign=x#note,3,0,link
79,9972,05/09/2026,01:00:09,Scale record 9972,https://scale2.historyout-qa.invalid/page/9972?campaign=x#note,3,0,link
80,9973,05/09/2026,01:00:09,Scale record 9973,https://scale3.historyout-qa.invalid/page/9973?campaign=x#note,3,0,link
